"CID","LAC","MCC","MNC","Operator","CGI","Technology","Lon","Lat","SessionId","TestId","NetworkId","SystemName","ADevice","Time","PosId","FileId","BTSLon","BTSLat","BTSLonDiff","BTSLatDiff","BTSDist","BTS2LonDiff","BTS2LatDiff","BTS2Dist","BTS3LonDiff","BTS3LatDiff","BTS3Dist","BTSTech","FloorPlanName","FloorPlanLevel","SessionIdLP","TestIdLP","PosIdLP","NetworkIdLP","RSRP","NumMeasuredCells","ChnPCI"
"29959711","4100","510","10","Telkomsel","29959711-10-510","LTE E-UTRA 3","105.206712","-4.97855","322122547201","0","322122547201","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:33:09.256","322122547201","75",,,"105.206712","-4.97855",,"105.206712","-4.97855",,"105.206712","-4.97855",,,,,,,,,"     -89.0","0","1850 152"
"41046541","1603","510","9","Smartfren","41046541-9-510","LTE E-UTRA 40","105.206712","-4.97855","339302416385","0","339302416385","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:33:07.834","339302416385","79",,,"105.206712","-4.97855",,"105.206712","-4.97855",,"105.206712","-4.97855",,,,,,,,,"    -100.0","0","39050 29"
"74362628","29005","510","11","XL","74362628-11-510","LTE E-UTRA 3","105.213408","-4.97602","352187318273","0","352187318273","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:30:13.547","352187318273","82",,,"105.213408","-4.97602",,"105.213408","-4.97602",,"105.213408","-4.97602",,,,,,,,,"     -71.5","0","1325 453"
"29959691","4100","510","10","Telkomsel","29959691-10-510","LTE E-UTRA 3","105.213431","-4.976024","356482285569","0","356482285569","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:30:09.514","356482285569","83",,,"105.213431","-4.976024",,"105.213431","-4.976024",,"105.213431","-4.976024",,,,,,,,,"     -82.0","0","1850 150"
"42326559","1603","510","9","Smartfren","42326559-9-510","LTE E-UTRA 5","105.213408","-4.97602","377957122049","0","377957122049","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:30:10.267","377957122049","88",,,"105.213408","-4.97602",,"105.213408","-4.97602",,"105.213408","-4.97602",,,,,,,,,"     -82.0","0","2450 363"
"40960781","1608","510","9","Smartfren","40960781-9-510","LTE E-UTRA 40","105.224893","-4.973265","408021893121","0","408021893121","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:27:09.51","408021893121","95",,,"105.224893","-4.973265",,"105.224893","-4.973265",,"105.224893","-4.973265",,,,,,,,,"     -95.9","0","39050 137"
"29968140","4100","510","10","Telkomsel","29968140-10-510","LTE E-UTRA 8","105.232299","-4.974754","425201762305","0","425201762305","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:24:10.124","425201762305","99",,,"105.232299","-4.974754",,"105.232299","-4.974754",,"105.232299","-4.974754",,,,,,,,,"    -102.3","0","3500 39"
"42297121","1602","510","9","Smartfren","42297121-9-510","LTE E-UTRA 5","105.232266","-4.97474","446676598785","0","446676598785","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:24:09.243","446676598785","104",,,"105.232266","-4.97474",,"105.232266","-4.97474",,"105.232266","-4.97474",,,,,,,,,"    -102.0","2","2450 146"
"29978134","4100","510","10","Telkomsel","29978134-10-510","LTE E-UTRA 8","105.216736","-4.963628","463856467969","0","463856467969","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:04:53.334","463856467969","108",,,"105.216736","-4.963628",,"105.216736","-4.963628",,"105.216736","-4.963628",,,,,,,,,"     -97.9","4","3500 124"
"41115404","1608","510","9","Smartfren","41115404-9-510","LTE E-UTRA 40","105.216736","-4.963628","476741369857","0","476741369857","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:04:53.533","476741369857","111",,,"105.216736","-4.963628",,"105.216736","-4.963628",,"105.216736","-4.963628",,,,,,,,,"     -82.0","4","39050 172"
"74362628","29005","510","11","XL","74362628-11-510","LTE E-UTRA 3","105.212696","-4.976974","485331304449","0","485331304449","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:01:55.215","485331304449","113",,,"105.212696","-4.976974",,"105.212696","-4.976974",,"105.212696","-4.976974",,,,,,,,,"     -76.3","0","1325 453"
"29959691","4100","510","10","Telkomsel","29959691-10-510","LTE E-UTRA 3","105.212696","-4.976974","498216206337","0","498216206337","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:01:53.753","498216206337","116",,,"105.212696","-4.976974",,"105.212696","-4.976974",,"105.212696","-4.976974",,,,,,,,,"     -72.0","0","1850 150"
"42326559","1603","510","9","Smartfren","42326559-9-510","LTE E-UTRA 5","105.212696","-4.976974","511101108225","0","511101108225","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:01:51.817","511101108225","119",,,"105.212696","-4.976974",,"105.212696","-4.976974",,"105.212696","-4.976974",,,,,,,,,"     -80.2","0","2450 363"
"29954079","4100","510","10","Telkomsel","29954079-10-510","LTE E-UTRA 3","105.210197","-4.991893","532575944705","0","532575944705","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 17:58:53.991","532575944705","124",,,"105.210197","-4.991893",,"105.210197","-4.991893",,"105.210197","-4.991893",,,,,,,,,"    -100.0","1","1850 374"
"42326560","1603","510","9","Smartfren","42326560-9-510","LTE E-UTRA 5","105.210197","-4.991893","545460846593","0","545460846593","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 17:58:51.884","545460846593","127",,,"105.210197","-4.991893",,"105.210197","-4.991893",,"105.210197","-4.991893",,,,,,,,,"    -100.0","1","2450 365"
"41046540","1603","510","9","Smartfren","41046540-9-510","LTE E-UTRA 40","105.211743","-4.978892","558345748481","0","558345748481","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 19:39:21.319","558345748481","130",,,"105.211743","-4.978892",,"105.211743","-4.978892",,"105.211743","-4.978892",,,,,,,,,"     -88.0","2","39050 28"
"15385602","21107","510","1","Indosat Ooredoo","15385602-1-510","LTE E-UTRA 3","105.211743","-4.978892","562640715777","0","562640715777","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 19:39:23.154","562640715777","131",,,"105.211743","-4.978892",,"105.211743","-4.978892",,"105.211743","-4.978892",,,,,,,,,"     -87.0","3","1625 35"
,"29005","510","11","XL",,"LTE E-UTRA 3","105.211743","-4.978892","571230650369","0","571230650369","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 19:39:23.573","571230650369","133",,,"105.211743","-4.978892",,"105.211743","-4.978892",,"105.211743","-4.978892",,,,,,,,,"     -78.0","3","1325 454"
"29959701","4100","510","10","Telkomsel","29959701-10-510","LTE E-UTRA 3","105.211743","-4.978892","579820584961","0","579820584961","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 19:39:22.088","579820584961","135",,,"105.211743","-4.978892",,"105.211743","-4.978892",,"105.211743","-4.978892",,,,,,,,,"     -79.0","1","1850 151"
