ASideFileName,TestDescription,CollectionName,CampaignName,UserName,CallingModule,ASideDevice,ASideNumber,ASideLocation,Region,JobName,TestName,SessionId,TestId,MsgDateTime,Date,Time,Test Type,Source,Cid,LAC,Operator,Technology,Player,URL,VideoResolution,DisplayResolution,Container,VideoServer,VQ Series,SessionQuality,TestQualityAvg,TestQualityMin,TestQualityMax,Freezing,,Status,StatusOk,StatusFailed,,Jerkiness,Blurring,Tiling
2022-03-15-21-53-12-9211-0884-7003-4538-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6281382451706,TELKOMSEL_V1_BP15,,YouTube Service,YouTube Service,1451698946052,1451698946050,2022-03-15 21:53:24.379,15.03.2022,21:53:24,YouTube Video Streaming,YouTube,54784533.0,6312.0,Telkomsel,LTE E-UTRA 3,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101),yFvWoSCp0UA,,1920 * 1080,,10.78.106.166,NR,1.0,3.5,2.5999999046325684,3.799999952316284,0.0,0.0,ok,1,0,1.17,0.10000000149011612,,
2022-03-15-21-53-12-9211-0884-7003-9438-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6287825402790,XL_V1_BP15,,YouTube Service,YouTube Service,1455993913348,1455993913346,2022-03-15 21:53:28.407,15.03.2022,21:53:28,YouTube Video Streaming,YouTube,139531781.0,55540.0,XL,LTE E-UTRA 3,YouTube Web Chrome v99.0.4844.58 (v98.0.4758.101),yFvWoSCp0UA,,1920 * 1080,,10.130.190.14,NR,1.0,3.5,2.5,3.799999952316284,0.0,0.0,ok,1,0,1.712,0.10000000149011612,,
2022-03-15-21-53-12-9211-0884-7003-5030-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6288214399606,SMARTFREN_V1_BP15,,YouTube Service,YouTube Service,1460288880644,1460288880642,2022-03-15 21:53:24.280,15.03.2022,21:53:24,YouTube Video Streaming,YouTube,76831499.0,3032.0,Smartfren,LTE E-UTRA 40,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101),yFvWoSCp0UA,,864 * 480,,202.70.58.15,NR,1.0,3.299999952316284,2.5,3.9000000953674316,0.0,0.0,ok,1,0,1.58,0.10000000149011612,,
2022-03-16-14-30-23-9211-0884-7003-4538-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6281382451706,TELKOMSEL_V1_BP15,,YouTube Service,YouTube Service,1584842932228,1584842932226,2022-03-16 14:30:35.205,16.03.2022,14:30:35,YouTube Video Streaming,YouTube,54847509.0,6024.0,Telkomsel,LTE E-UTRA 3,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101),yFvWoSCp0UA,,1920 * 1080,,10.89.29.132,NR,1.0,3.5,2.5999999046325684,3.799999952316284,0.0,0.0,ok,1,0,0.633,0.10000000149011612,,
2022-03-16-14-30-23-9211-0884-7003-6988-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6285717660973,INDOSAT_V1_BP15,,YouTube Service,YouTube Service,1589137899524,1589137899522,2022-03-16 14:30:35.189,16.03.2022,14:30:35,YouTube Video Streaming,YouTube,11009027.0,32132.0,Indosat Ooredoo,LTE E-UTRA 3,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101),yFvWoSCp0UA,,1920 * 1080,,142.251.12.91,NR,1.0,3.799999952316284,3.799999952316284,3.9000000953674316,0.0,0.0,ok,1,0,1.702,0.10000000149011612,,
2022-03-16-14-30-23-9211-0884-7003-5030-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6288214399606,SMARTFREN_V1_BP15,,YouTube Service,YouTube Service,1593432866820,1593432866818,2022-03-16 14:30:37.549,16.03.2022,14:30:37,YouTube Video Streaming,YouTube,76836887.0,3032.0,Smartfren,LTE E-UTRA 40,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101),yFvWoSCp0UA,,1280 * 720,,74.125.24.136,NR,1.0,3.5,2.5999999046325684,3.799999952316284,0.0,0.0,ok,1,0,2.255,0.10000000149011612,,
2022-03-16-14-30-23-9211-0884-7003-9438-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6287825402790,XL_V1_BP15,,YouTube Service,YouTube Service,1597727834116,1597727834114,2022-03-16 14:30:35.253,16.03.2022,14:30:35,YouTube Video Streaming,YouTube,138863878.0,55540.0,XL,LTE E-UTRA 3,YouTube Web Chrome v99.0.4844.58 (v98.0.4758.101),yFvWoSCp0UA,,1280 * 720,,10.213.39.144,NR,1.0,3.5,2.5999999046325684,4.300000190734863,0.0,0.0,ok,1,0,0.972,0.10000000149011612,,
2022-03-16-14-59-18-9211-0884-7003-9438-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6287825402790,XL_V1_BP15,,YouTube Service,YouTube Service,1687922147332,1687922147330,2022-03-16 14:59:33.073,16.03.2022,14:59:33,YouTube Video Streaming,YouTube,,54421.0,XL,LTE E-UTRA 3,YouTube Web Chrome v99.0.4844.58 (v98.0.4758.101),yFvWoSCp0UA,,1280 * 720,,74.125.200.91,NR,1.0,3.5,2.5,4.300000190734863,0.0,0.0,ok,1,0,1.438,0.10000000149011612,,
2022-03-16-14-59-18-9211-0884-7003-6988-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6285717660973,INDOSAT_V1_BP15,,YouTube Service,YouTube Service,1692217114628,1692217114626,2022-03-16 14:59:32.326,16.03.2022,14:59:32,YouTube Video Streaming,YouTube,,54057.0,Indosat Ooredoo,LTE E-UTRA 3,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101),yFvWoSCp0UA,,1280 * 720,,10.182.237.236,NR,1.0,3.5,2.5,4.300000190734863,0.0,0.0,ok,1,0,0.87,0.10000000149011612,,
2022-03-16-14-59-18-9211-0884-7003-4538-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6281382451706,TELKOMSEL_V1_BP15,,YouTube Service,YouTube Service,1696512081924,1696512081922,2022-03-16 14:59:33.039,16.03.2022,14:59:33,YouTube Video Streaming,YouTube,,6024.0,Telkomsel,LTE E-UTRA 3,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101),yFvWoSCp0UA,,864 * 480,,10.89.29.132,NR,1.0,3.0,2.5,3.200000047683716,0.0,0.0,ok,1,0,1.064,0.10000000149011612,,
2022-03-16-14-59-18-9211-0884-7003-5030-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6288214399606,SMARTFREN_V1_BP15,,YouTube Service,YouTube Service,1700807049220,1700807049218,2022-03-16 14:59:30.772,16.03.2022,14:59:30,YouTube Video Streaming,YouTube,77212684.0,3032.0,Smartfren,LTE E-UTRA 40,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101),yFvWoSCp0UA,,640 * 360,,172.217.194.136,NR,1.0,2.5999999046325684,2.5,2.5999999046325684,0.0,0.0,ok,1,0,3.322,0.10000000149011612,,
2022-03-16-15-25-20-9211-0884-7003-6988-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6285717660973,INDOSAT_V1_BP15,,YouTube Service,YouTube Service,1791001362436,1791001362434,2022-03-16 15:25:32.089,16.03.2022,15:25:32,YouTube Video Streaming,YouTube,11083777.0,32022.0,Indosat Ooredoo,LTE E-UTRA 3,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101),yFvWoSCp0UA,,864 * 480,,114.5.10.15,NR,1.0,3.0999999046325684,2.5,4.300000190734863,0.0,0.0,ok,1,0,1.673,0.10000000149011612,,
2022-03-16-15-25-20-9211-0884-7003-9438-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6287825402790,XL_V1_BP15,,YouTube Service,YouTube Service,1795296329732,1795296329730,2022-03-16 15:25:31.987,16.03.2022,15:25:31,YouTube Video Streaming,YouTube,,53545.0,XL,LTE E-UTRA 3,YouTube Web Chrome v99.0.4844.58 (v98.0.4758.101),yFvWoSCp0UA,,864 * 480,,10.213.39.144,NR,1.0,3.299999952316284,2.5999999046325684,3.9000000953674316,0.0,0.0,ok,1,0,0.942,0.10000000149011612,,
2022-03-16-15-25-20-9211-0884-7003-4538-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6281382451706,TELKOMSEL_V1_BP15,,YouTube Service,YouTube Service,1799591297028,1799591297026,2022-03-16 15:25:32.715,16.03.2022,15:25:32,YouTube Video Streaming,YouTube,56353823.0,6024.0,Telkomsel,LTE E-UTRA 3,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101),yFvWoSCp0UA,,432 * 240,,142.250.4.91,NR,1.0,2.299999952316284,2.200000047683716,2.5,0.0,0.0,ok,1,0,1.012,0.10000000149011612,,
2022-03-16-15-25-20-9211-0884-7003-5030-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6288214399606,SMARTFREN_V1_BP15,,YouTube Service,YouTube Service,1803886264324,1803886264322,2022-03-16 15:25:32.390,16.03.2022,15:25:32,YouTube Video Streaming,YouTube,77208843.0,3011.0,Fren/Hepi,LTE E-UTRA 40,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101),yFvWoSCp0UA,,1920 * 1080,,74.125.68.136,NR,1.0,3.5,2.5999999046325684,3.799999952316284,0.0,0.0,ok,1,0,0.885,0.10000000149011612,,
2022-03-16-15-45-06-9211-0884-7003-4538-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6281382451706,TELKOMSEL_V1_BP15,,YouTube Service,YouTube Service,1859720839172,1859720839170,2022-03-16 15:45:18.079,16.03.2022,15:45:18,YouTube Video Streaming,YouTube,54812437.0,6024.0,Telkomsel,LTE E-UTRA 3,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101),yFvWoSCp0UA,,1280 * 720,,142.251.12.91,NR,1.0,3.5,2.5999999046325684,3.9000000953674316,0.0,0.0,ok,1,0,0.712,0.10000000149011612,,
2022-03-16-15-45-06-9211-0884-7003-9438-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6287825402790,XL_V1_BP15,,YouTube Service,YouTube Service,1864015806468,1864015806466,2022-03-16 15:45:18.269,16.03.2022,15:45:18,YouTube Video Streaming,YouTube,,,XL,LTE E-UTRA 3,YouTube Web Chrome v99.0.4844.58 (v98.0.4758.101),yFvWoSCp0UA,,1280 * 720,,74.125.24.93,NR,1.0,3.5,2.5999999046325684,3.9000000953674316,0.0,0.0,ok,1,0,0.778,0.10000000149011612,,
2022-03-16-15-45-06-9211-0884-7003-6988-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6285717660973,INDOSAT_V1_BP15,,YouTube Service,YouTube Service,1868310773764,1868310773762,2022-03-16 15:45:18.651,16.03.2022,15:45:18,YouTube Video Streaming,YouTube,11083777.0,32022.0,Indosat Ooredoo,LTE E-UTRA 3,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101),yFvWoSCp0UA,,1920 * 1080,,10.54.242.37,NR,1.0,3.5,2.5,3.799999952316284,0.0,0.0,ok,1,0,0.882,0.10000000149011612,,
2022-03-16-15-45-06-9211-0884-7003-5030-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6288214399606,SMARTFREN_V1_BP15,,YouTube Service,YouTube Service,1872605741060,1872605741058,2022-03-16 15:45:18.566,16.03.2022,15:45:18,YouTube Video Streaming,YouTube,77208843.0,3011.0,Smartfren,LTE E-UTRA 40,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101),yFvWoSCp0UA,,1920 * 1080,,100.68.244.158,NR,1.0,3.5,2.5999999046325684,3.799999952316284,0.0,0.0,ok,1,0,1.368,0.10000000149011612,,
