SessionId,TestId,Serving Operator,Home Operator,Technology,CallingModule,ASideDevice,msgDate,msgTime,CollectionName,TestDescription,Zone,Throughput,ket,Host,Status,APN
111669149710,111669149703,Smartfren,Smartfren,LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:33:42,ZONA17_LAMONGAN_DT,,NCM30100884,14552.168,GET,ftp://103.8.238.209,Successful,Smartfren4G
111669149712,111669149704,Smartfren,Smartfren,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:34:40,ZONA17_LAMONGAN_DT,,NCM30100884,672.728,PUT,ftp://103.102.153.214,Failed,Smartfren4G
115964117006,115964116999,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:33:45,ZONA17_LAMONGAN_DT,,NCM30100884,21202.664,GET,ftp://103.8.238.209,Successful,internet
115964117008,115964117000,Indosat Ooredoo,Indosat Ooredoo,LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:34:25,ZONA17_LAMONGAN_DT,,NCM30100884,9538.488,PUT,ftp://103.102.153.214,Successful,internet
120259084302,120259084295,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:34:52,ZONA17_LAMONGAN_DT,,NCM30100884,0.0,GET,ftp://103.8.238.209,Failed,internet
120259084304,120259084296,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:35:22,ZONA17_LAMONGAN_DT,,NCM30100884,0.0,PUT,ftp://103.102.153.214,Failed,internet
210453397518,210453397511,Telkomsel,Telkomsel,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:52:55,ZONA17_LAMONGAN_DT,,NCM30100884,13857.696,GET,ftp://103.8.238.209,Failed,internet
210453397520,210453397512,Telkomsel,Telkomsel,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:53:55,ZONA17_LAMONGAN_DT,,NCM30100884,3788.448,PUT,ftp://103.102.153.214,Successful,internet
214748364814,214748364807,Smartfren,Smartfren,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:53:18,ZONA17_LAMONGAN_DT,,NCM30100884,13541.2,GET,ftp://103.8.238.209,Failed,Smartfren4G
214748364816,214748364808,Smartfren,Smartfren,LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:54:18,ZONA17_LAMONGAN_DT,,NCM30100884,4013.536,PUT,ftp://103.102.153.214,Successful,Smartfren4G
219043332110,219043332103,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:52:41,ZONA17_LAMONGAN_DT,,NCM30100884,22548.904,GET,ftp://103.8.238.209,Successful,internet
219043332112,219043332104,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:53:18,ZONA17_LAMONGAN_DT,,NCM30100884,3842.728,PUT,ftp://103.102.153.214,Successful,internet
223338299406,223338299399,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:53:52,ZONA17_LAMONGAN_DT,,NCM30100884,0.0,GET,ftp://103.8.238.209,Failed,internet
223338299408,223338299400,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:54:23,ZONA17_LAMONGAN_DT,,NCM30100884,0.0,PUT,ftp://103.102.153.214,Failed,internet
313532612622,313532612615,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,23:11:49,ZONA17_LAMONGAN_DT,,NCM30100884,1566.464,GET,ftp://103.8.238.209,Failed,internet
313532612624,313532612616,Telkomsel,Telkomsel,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,23:12:49,ZONA17_LAMONGAN_DT,,NCM30100884,0.0,PUT,ftp://103.102.153.214,Failed,internet
317827579918,317827579911,Smartfren,Smartfren,LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,23:12:04,ZONA17_LAMONGAN_DT,,NCM30100884,17172.76,GET,ftp://103.8.238.209,Successful,Smartfren4G
317827579920,317827579912,Smartfren,Smartfren,LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,23:12:53,ZONA17_LAMONGAN_DT,,NCM30100884,1341.0,PUT,ftp://103.102.153.214,Successful,Smartfren4G
